Country,Active Personnel,Aircraft Carriers,Airports,Armored Vehicles,Attack Aircraft,Attack Helicopters,Available Manpower,Coastline (km),Corvettes,Defense Budget (USD),Destroyers,External Debt (USD),Fighter Aircraft,Fit for Service,Foreign Exchange Reserves (USD),Frigates,Helicopter Carriers,Helicopters,Labor Force,Land Area (sq km),Merchant Marine Fleet,Mine Warfare,Natural Gas Production,Oil Consumption (bbl/day),Oil Production (bbl/day),Ports,Proven Oil Reserves (bbl),Purchasing Power Parity (USD),Railway Coverage (km),Reserve Personnel,Roadway Coverage (km),Rocket Projectors,Self-Propelled Artillery,Shared Borders (km),Special Mission Aircraft,Submarines,Tanker Aircraft,Tanks,Total Aircraft,Total Naval Assets,Total Population,Towed Artillery,Trainer Aircraft,Transport Aircraft,Waterways (km)
United States,132800004.0,11.0,15873.0,13043.0,13043,1002,150463900440.0,19924.0,26.0,895000000000.0,81.0,22303546100000.0,13043,124816644365.0,773426000000.0,0.0,9.0,13043,170549000.0,9833517.0,3533.0,8.0,1029000000000.0,20245000.0,20879000.0,666.0,38212000000.0,24662000000000.0,293564.0,79950002.0,6586610.0,13043.0,671,12002.0,647,70.0,605,13043,13043,440.0,341963408.0,1212,13043,13043,41009.0
Russia,132000009.0,1.0,904.0,4292.0,4292,557,69002197490.0,37653.0,83.0,126000000000.0,10.0,317650500000.0,4292,46189226328.0,597217000000.0,12.0,0.0,4292,72408000.0,17098242.0,2910.0,47.0,617830000000.0,3684000.0,10727000.0,67.0,80000000000.0,5816000000000.0,85494.0,200000014.0,1283387.0,4292.0,5168,22407.0,141,63.0,19,4292,4292,419.0,140820810.0,8505,4292,4292,102000.0
China,203500001.0,3.0,531.0,3309.0,3309,281,764123366540.0,14500.0,72.0,266850000000.0,50.0,1218458500000.0,3309,626864169443.0,3450000000000.0,47.0,4.0,3309,779246000.0,9596960.0,8314.0,36.0,225341000000.0,15148000.0,4984000.0,66.0,26023000000.0,31227000000000.0,150000.0,51000000.0,5200000.0,3309.0,3490,22457.0,112,61.0,10,3309,3309,754.0,1415043270.0,1000,3309,3309,27700.0
India,145555001.0,2.0,311.0,2229.0,2229,80,662290299470.0,7000.0,18.0,75000000000.0,13.0,371020500000.0,2229,522786598371.0,627793000000.0,14.0,0.0,2229,593729000.0,3287263.0,1859.0,0.0,33170000000.0,5049000.0,795000.0,56.0,4605000000.0,13104000000000.0,65554.0,115500001.0,6371847.0,2229.0,100,13888.0,74,18.0,6,2229,2229,293.0,1409128296.0,3975,2229,2229,14500.0
South Korea,60000012.0,0.0,89.0,1592.0,1592,111,26040900500.0,2413.0,5.0,46300000000.0,13.0,503519500000.0,1592,21353538410.0,420930000000.0,17.0,2.0,1592,29611000.0,99720.0,2149.0,14.0,55127000.0,2452000.0,38000.0,15.0,0.0,2615000000000.0,3979.0,310000060.0,100428.0,1592.0,3270,237.0,36,22.0,4,1592,1592,227.0,52081799.0,4400,1592,1592,1600.0
United Kingdom,18486003.0,2.0,1043.0,631.0,631,37,31491165460.0,12429.0,0.0,71500540000.0,6.0,9593749000000.0,631,25192932368.0,177915000000.0,8.0,0.0,631,35275000.0,243610.0,868.0,7.0,37758000000.0,1397000.0,753000.0,185.0,2500000000.0,3700000000000.0,16390.0,92400013.0,394428.0,631.0,71,443.0,28,9.0,9,631,631,109.0,68459055.0,126,631,631,3200.0
Japan,24715002.0,0.0,279.0,1443.0,1443,119,52976836430.0,29751.0,0.0,57000000000.0,42.0,4679698100000.0,1443,42874277348.0,1295000000000.0,6.0,4.0,1443,69349000.0,377915.0,5229.0,22.0,2220000000.0,3289000.0,8000.0,163.0,44115000.0,5761000000000.0,27311.0,5600000.0,1218772.0,1443.0,149,,141,24.0,10,1443,1443,159.0,123201945.0,480,1443,1443,1770.0
Turkiye,35520004.0,0.0,115.0,1083.0,1083,111,42985080511.0,7200.0,9.0,47000000000.0,0.0,294441000000.0,1083,36087279429.0,140858000000.0,17.0,1.0,1083,35071000.0,783562.0,1170.0,11.0,379701000.0,1077000.0,83000.0,54.0,366000000.0,2936000000000.0,11497.0,37870005.0,67333.0,1083.0,1038,2816.0,28,13.0,7,1083,1083,182.0,84119531.0,1707,1083,1083,1200.0
Pakistan,65400003.0,0.0,116.0,1399.0,1399,57,108516336430.0,1046.0,9.0,7640000000.0,0.0,92426000000.0,1399,85803614340.0,13730000000.0,9.0,0.0,1399,80990000.0,796095.0,60.0,3.0,36937000000.0,473000.0,101000.0,3.0,540000000.0,1347000000000.0,11881.0,55000002.0,264175.0,1399.0,662,7257.0,27,8.0,4,1399,1399,121.0,252363571.0,2629,1399,1399,0.0
Italy,16550003.0,2.0,636.0,729.0,729,37,27434219450.0,7600.0,0.0,30890000000.0,3.0,2750000000000.0,729,22191235364.0,247396000000.0,10.0,0.0,729,25669000.0,301340.0,1276.0,10.0,3117000000.0,1246000.0,116000.0,123.0,497934000.0,3097000000000.0,18475.0,1850000.0,487700.0,729.0,64,1836.0,23,8.0,8,729,729,196.0,60964931.0,108,729,729,2400.0
